label,text,,,,,,
c,"What do I think? I honestly don't know. My favorite poems were Elm, The Moon and the Yew Tree, and Edge. I admit that Sylvia Plath's poetry may be beyond my ability to fullly understand. I have The Collected Poems, which won the Pulitzer Prize in 1982, on my to-read shelf. Maybe the more I read the better I will understand. There is an aura about Sylvia Plath that I find fascinating. Her writing is so unique, so different from anything else, you can't help being drawn to it, like a moth to a flame.",,,,,,
c,"This was a long, sad tale; full of tragedy. It was much longer than it needed to be and so predictable. It was endlessly depressing.",,,,,,
i,i still am not over the fact that someone wrote a game of thrones style king lear i feel as if i'm not going to be the same person until this is in my hands,,,,,,
c,"This book is remarkable. That should be enough but this is a work that should not be shortchanged. Kristin Hannah had created a work that will resonate forcefully and painfully for anyone who has experienced the dynamics of having a family member suffering from Post Traumatic Stress Disorder (PTSD) as a result of having seen firsthand the atrocities of war. The author has captured feelings that must be felt personally before they can be presented in such a relatable manner. The hurt and the pain and the quality of life destroying actions of the person suffering from PTSD is conveyed in such a manner by the author that the sensitivities of the reader makes him/her scream ""Make it stop!!!!!!!"" . In real life the hurt emanating from PTSD transcends generations. My own father was discharged from the Army in 1946 and my family lived off of his Veterans' Administration Disability check for the next fifty years. In 1946 PTSD was referred to as ""she'll shocked"". My dad was largely a non-functioning human being as a result of the tranquilizers and anti-depressants prescribed by the VA. I would hope that progress has been made in the treatment of PTSD, but after reading this novel, I have my doubts. The greatest benefit that I derived from reading this novel is the fact that at age 70 i can finally say ""There is at least one person who understands."" . Perhaps now the rest of the world will have a better handle on the sacrifices being made by the members of our armed forces and their families.",,,,,,
i,I can't wait to read this book and give my life some form of purpose again,,,,,,
c,"I loved Ms. Ng's prior novel, and this one was as strong if not stronger. It's very readable -- she's an excellent writer -- and she creates fascinating and intricate characters. Also notable is her ability to create suspense through a strong set of related plot lines, without sacrificing character development. In fact, I'd define this largely as a character and theme-driven novel, with the plot secondary to the rich interior lives and interrelationships among her main characters. Throughout the novel, we seesaw between parallel themes relating to pregnancy, birth and motherhood; the drive to reproduce and nurture; the desire for order and the status quo vs. an openness to change and embracing of creativity; sexual desire and love. These themes take shape in every interaction between the characters and Ms. Ng's talent also shows in how real they all seem -- both the adults and the teenagers, the females and the male. For me, Mia Warren was the beating heart of the novel, a genuinely fascinating individual and internally consistent. But at the same time, she also seemed almost too ""perfect"" a character -- morally incorruptible, true only to her art (sometimes to her daughter's detriment), wise beyond her years, yet in some ways incredibly selfish and self-indigent, following her internal muse to a degree not possible for most ""mere mortals."" So at the end, with the Richardson's difficult daughter on her own in the world, taking inspiration from Mia, do we applaud her courage or fear for her future?",,,,,,
c,"Dark, depressing.... sad! I’ve only read one other Kristen Hannah novel, so I’m not an expert on her writing, but this one was difficult for me to get through because of the abuse.",,,,,,
c,"Having been severely disappointed with Nesbo's eagerly-awaited Macbeth a few days ago, I approached this fantasy retelling of King Lear with some trepidation - but, you know what, it's wonderful! Gratton shows her deep understanding of the original in so many ways even while she contests and subverts it. Rather than this being a Lear via Game of Thrones, it serves to reveal how much GoT is already indebted to Lear (and others). The writing is gorgeous: lyrical and poetic in its evocation of a world ordered by earth and water magic; dark and edgy when it comes to close-up encounters between, especially, couples: Regan and Connley (Cornwall), Gaela and Astore (Goneril and Albany). This cleverly unpicks all those problems that have challenged students and scholars: the missing mothers, for example, are written back in; and the three daughters of Lear are no longer conventional fairy-tale archetypes of good and bad women, but have characters of their own - bound by a love which supersedes their differences. There are solid reasons, too, for the division between the Goneril character and her husband, and for the Edmund character (Ban) to develop the way he does. Big moments from the play like Gloucester's eyes are handled adroitly, making their presence felt but in keeping with their new setting. Less successful are the constant flashbacks: the book insists on giving us backstories to relationships which are already fully-fleshed in the present. Cutting these would have tautened up the pace as this feels unnecessarily drawn out in places. Some character additions, too, could have gone: Aefa, the Fool's daughter, does little other than add to the plethora of female characters displacing the male ones of Shakespeare. Nevertheless, this is a hugely enjoyable read and an impressive re-imagining of Lear.",,,,,,
c,"I can't imagine how difficult it is for a writer, even one who has been publishing successfully for some years now as Kristin Hannah has, to push through the pressure of expectation to write a novel following a breakout smash hit like The Nightingale. The Great Alone strikes me as a very different kind of novel than The Nightingale, but I think readers will appreciate it every bit as much. In this new novel, Hannah examines the strangely compelling and horrifyingly brutal world of a teenage girl, Leni, who is trapped inside her father's wanderlust and her parents's dysfunctional marriage. The climate of Leni's existence, her parents's suffocating love and codependency, coupled with the madness of abuse is hard to witness, but never shied away from or oversimplified. Hannah manages to give readers an unflinching yet almost sympathetic glimpse of this fraught subject matter, all the while giving three dimensionality to all her wonderful, eclectic supporting characters. Both The Nightingale and The Great Alone explore the repercussions of war, its brutality and the utter devastation wartime captivity leaves on soldiers. The Nightingale, in which WWII stains and heightens every moment, is set primarily in wartime. The Great Alone is similarly a war novel, in that Leni's father was a soldier and POW in Vietnam, and the family moves to Alaska at the outset of the novel because of a wartime legacy, but the novel is set post-war. Nevertheless, the scars of Vietnam are deep and lasting; as the novel reveals, the titular ""great alone"" encompasses the interior, mental landscape as well as the more obvious external, physical, challenging world of off the grid Alaska. The novel spans the time between 1974 and 1986. At times, Alaska's suffocating unrelieved winter darkness closes in on Leni and her hopes and dreams. The contrasting, unremitting daylight of the Alaskan summer means not joy and ease, but endless hard work in anticipation of the winter to come. And yet this book gives its readers the buoyancy of hope: it looks like love, love and patience and perseverance that is bigger than anger and damage and time.",,,,,,
c,"Ernest Cline's novel is not post apocalypse, but sort of post slide-into-serious-dysfunction. The only bright spot in many peoples' lives is an on-line experience called ""OASIS."" A young man, who has a very grim ""real life,"" finds solace and a few friends in OASIS. The book has lots of adventure, good dialog, and a reasonable moral compass. Cline's writing is smooth and enjoyable. My main quibble with the book is the amount of narration. This slowed the pace for me -- especially in the first part of the book where the main character is basically ""telling"" the reader the backstory for the novel. Once that was out of the way, the pace picked up and the story pulled me in.",,,,,,
c,"The story, while somewhat interesting at times, fell flat when it came to the secrets behind Gramps' unusual life. Did I miss something, or did the author never give us any closure to what was going on with him? For me, the mystery was the most interesting part of the story, but alas, the secrets were never revealed.",,,,,,
c,"I did not like this book. I'm a little gobsmacked by the adulation it gets because it's a bad teen novel wrapped in a morass of 80s nostalgia. I checked it out of the library when it got all these terrific reviews from wired.com and the like and put it down about 50 pages in. Being bored this weekend, I started it again on Friday eve and finished it off tonight and feel like I read what I imagine a novel written by Michael Bay and edited by Roland Emerich would be. It's simply that bad. I struggle to consider it science fiction. It's like the novelisation of a low budget SyFy mini-series funded by a ridiculous amount of product placements.",,,,,,
c,"I read the entire book but was sorry I did. Mia was made to be a hero, but I have no idea why. She was as lost and confused as Mrs. Richardson . Not only were the characters unrealistic the same could be said for the storyline.",,,,,,
c,"Although the writing is good, the story and some of the characters are tortuous, maddening and depressing until just before the very end. It ends on hope, but there is far too little of that throughout too much of the book for my taste. So many times I almost put it down. I don’t know why I pushed through until the end... I’m glad I did though... and I’m also glad that it’s over!!",,,,,,
